captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,bucket,stat,pred,gap,support,win,profit,stake
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Joel Freijah,Tackles Over,Over,1.5,1.11,SportsBet,56.5,$95,1,Tackles,Tackles,2.4935,0.9935,Wheelo lean support,False,-95.0,95.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Timothy English,Tackles Over,Over,3.5,1.84,SportsBet,56.4,$35,1,Tackles,Tackles,,,No Wheelo match,False,-35.0,35.0
2026-03-06 07:50:18,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Harvey Thomas,Tackles Over,Over,1.5,1.13,SportsBet,56.4,$85,1,Tackles,Tackles,2.8685,1.3685,Wheelo strong support,False,-85.0,85.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Arthur Jones,Tackles Over,Over,3.5,2.65,SportsBet,56.2,$25,3,Tackles,Tackles,1.5,-2.0,Wheelo strong against,False,-25.0,25.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Nick Daicos,Tackles Over,Over,3.5,1.61,SportsBet,56.2,$40,2,Tackles,Tackles,3.1500000000000004,-0.34999999999999964,Wheelo neutral,False,-40.0,40.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Hugo Garcia,Tackles Over,Over,5.5,2.00,SportsBet,56.0,$30,6,Tackles,Tackles,5.3343,-0.16570000000000018,Wheelo neutral,True,30.0,30.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Brayden Maynard,Tackles Over,Over,1.5,1.36,Unibet,55.9,$50,4,Tackles,Tackles,2.89,1.3900000000000001,Wheelo strong support,True,18.000000000000004,50.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Zach Guthrie,Tackles Over,Over,1.5,1.37,Bet Right,55.8,$50,3,Tackles,Tackles,2.6,1.1,Wheelo strong support,True,18.500000000000007,50.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Darcy Cameron,Tackles Over,Over,1.5,1.37,SportsBet,55.8,$50,6,Tackles,Tackles,3.3,1.7999999999999998,Wheelo strong support,True,18.500000000000007,50.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Cameron Rayner,Tackles Over,Over,3.5,1.49,SportsBet,55.5,$45,1,Tackles,Tackles,,,No Wheelo match,False,-45.0,45.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Matthew Kennedy,Tackles Over,Over,5.5,1.55,Unibet,55.3,$45,6,Tackles,Tackles,5.5335,0.033500000000000085,Wheelo neutral,True,24.750000000000004,45.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Beau McCreery,Tackles Over,Over,3.5,1.21,Unibet,55.1,$70,1,Tackles,Tackles,3.92,0.41999999999999993,Wheelo neutral,False,-70.0,70.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Zac Bailey,Tackles Over,Over,1.5,1.27,Unibet,54.9,$60,3,Tackles,Tackles,2.8734,1.3734000000000002,Wheelo strong support,True,16.200000000000003,60.0
2026-03-06 07:50:18,2026-03-07 19:35:00,Brisbane Lions v Western Bulldogs,Connor Budarick,Tackles Over,Over,1.5,1.32,Unibet,54.8,$55,2,Tackles,Tackles,2.0665,0.5665,Wheelo lean support,True,17.600000000000005,55.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Connor O'Sullivan,Tackles Over,Over,1.5,1.35,Bet Right,54.7,$55,3,Tackles,Tackles,2.5265,1.0265,Wheelo strong support,True,19.250000000000004,55.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Jordan De Goey,Tackles Over,Over,1.5,1.36,SportsBet,54.7,$50,1,Tackles,Tackles,1.87,0.3700000000000001,Wheelo neutral,False,-50.0,50.0
2026-03-06 07:50:18,2026-03-08 19:20:00,St Kilda Saints v Collingwood Magpies,Rowan Marshall,Tackles Over,Over,3.5,1.38,Unibet,54.6,$50,1,Tackles,Tackles,3.26,-0.2400000000000002,Wheelo neutral,False,-50.0,50.0
2026-03-06 07:50:18,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Thomas Stewart,Tackles Over,Over,1.5,1.44,SportsBet,54.5,$50,1,Tackles,Tackles,,,No Wheelo match,False,-50.0,50.0
