captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,stat,market_bucket,captured_qi_tier,wheelo_projection,season_projection,last5_projection,last10_projection,dynamic_sigma,probability_model,model_stat_edge,model_support,model_probability,market_implied_probability,model_edge,model_qi_num,model_qi_tier,bet_rule,win,profit
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Lachlan Weller,Disposals Over,Over,14.5,1.46,Dabble AU,75.6,$45,21,Disposals,Disposals,QI 70-79,14.921,15.1,15.25,14.444,5.632,normal_cc,0.421,Model neutral,0.5298,0.6849,-0.1551,44.0,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jack Scrimshaw,Disposals Over,Over,14.5,1.46,Dabble AU,75.6,$45,20,Disposals,Disposals,QI 70-79,17.004,17.333,16.5,16.8,6.006,normal_cc,2.504,Model lean support,0.6616,0.6849,-0.0233,65.2,QI 60-69,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Joshua Weddle,Disposals Over,Over,14.5,1.46,Dabble AU,75.6,$45,14,Disposals,Disposals,QI 70-79,15.608,15.727,15.2,15.9,5.632,normal_cc,1.108,Model lean support,0.578,0.6849,-0.1069,56.8,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Shannon Neale,Goals Scored Over,Over,1.5,2.10,TAB,75.4,$30,1,Goals_Avg,Goals,QI 70-79,1.966,2.0,1.8,2.1,0.905,poisson,0.466,Model strong support,0.5847,0.4762,0.1085,83.4,QI 80-89,LEAN,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Toby Greene,Goals Scored Over,Over,1.5,2.20,TAB,75.1,$30,0,Goals_Avg,Goals,QI 70-79,1.001,0.9,1.2,0.9,0.911,poisson,-0.499,Model strong against,0.2646,0.4545,-0.1899,18.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Karl Amon,Disposals Over,Over,24.5,2.30,Dabble AU,74.8,$30,15,Disposals,Disposals,QI 70-79,25.099,23.3,27.6,24.222,6.537,normal_cc,0.599,Model neutral,0.5365,0.4348,0.1017,69.7,QI 60-69,LEAN,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Leo Lombard,Goal Scorer Anytime,Over,0.5,1.67,PointsBet (AU),74.5,$40,2,Goals_Avg,Goals,QI 70-79,0.447,0.545,0.4,0.4,0.901,negative_binomial,-0.053,Model lean against,0.2788,0.5988,-0.32,26.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Nick Watson,Goal Scorer Anytime,Over,0.5,1.27,PointsBet (AU),74.5,$60,2,Goals_Avg,Goals,QI 70-79,2.515,2.545,2.4,2.6,0.887,poisson,2.015,Model strong support,0.9191,0.7874,0.1317,85.7,QI 80-89,A_BET,True,0.07
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Toby Greene,Goal Scorer Anytime,Over,0.5,1.29,PointsBet (AU),74.4,$60,0,Goals_Avg,Goals,QI 70-79,1.001,0.9,1.2,0.9,0.911,poisson,0.501,Model strong support,0.6325,0.7752,-0.1427,58.2,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Toby Greene,Disposals Over,Over,19.5,1.75,TAB,74.0,$35,20,Disposals,Disposals,QI 70-79,21.126,21.7,20.0,21.7,5.844,normal_cc,1.626,Model lean support,0.6096,0.5714,0.0382,71.3,QI 70-79,LEAN,True,0.0
